;;²»ÒªÉ¾
[@Main]
#Say
<Img|ay=1|height=500|scale9l=70|bg=1|scale9r=70|scale9t=70|loadDelay=1|scale9b=70|reset=1|Move=0|esc=1|img=public/bg_npc_01.png|show=0>
<Layout|x=385|y=10|width=80|height=80|link=@Exit>
<Button|x=386|y=10|nimg=public/1900000510.png|pimg=public/1900000511.png|link=@Exit>

<Text|x=25|y=20|color=250|size=18|text=ÍùÆäËû´å×¯ÒÆ¶¯µÄÂ·>
<Text|x=26.0|y=47.0|color=255|size=18|text=±ÈÆæÊ¡     - [516,580]>
<Text|x=25.0|y=79.0|color=255|size=18|text=¹àÄ¾ÁÖ     - [405,29]>
<Text|x=27.0|y=109.0|color=250|size=18|text=Íù¶´Ñ¨ÒÆ¶¯µÄÂ·>
<Text|x=26.0|y=137.0|color=255|size=18|text=ÎÖÂêÉñµî   - [54,370]>
<Text|x=26.0|y=165.0|color=250|size=18|text=ÉÌÈËÎ»ÖÃ>
<Text|x=28.0|y=196.0|color=255|size=18|text=ÎäÆ÷µê     - [445,102]\ÔÓ»õµê     - [396,163]\×°ÊÎÆ·µê   - [365,126]\·ÀÓù¹¤¾ßµê - [427,120]\Ò©µê       - [398,97]\Êéµê       - [428,74]\²Ö¿â       - [396,116]\ÎäÆ÷Ì¯     - [426,117]\ÔÓ»õÌ¯     - [391,167]\×°ÊÎÆ·Ì¯   - [370,135]\·ÀÓù¹¤¾ßÌ¯ - [412,133]\ÊéÌ¯       - [418,96]\ÈâÆÌ       - [366,182]\ÔÓ»õÌ¯     - [363,176]\Ìú½³ÆÌÌ¯   - [382,198]\>

