;-------------------------------------------------------------------------------
;; 扁夯 酒捞袍
;-------------------------------------------------------------------------------
1/300   魔晶石
1/1    金币 48000
1/3    金币 20000  1     1
1/2    金币 10000  1     1
1/1    经验丹
1/1    经验丹
1/1    经验丹
1/1    经验丹
1/1    经验丹
1/2    万年雪霜 
1/2    万年雪霜 
1/2    万年雪霜 
1/2    万年雪霜 
1/2    万年雪霜 
1/2    金创药（特） 
1/2    金创药（特） 
1/2    金创药（特） 
1/2    金创药（特） 
1/2    魔法药（特） 
1/2    魔法药（特） 
1/2    魔法药（特） 
1/2    魔法药（特） 
1/2    魔法药（特） 

;-------------------------------------------------------------------------------
;; 扁夯 酒捞袍 level 1
;-------------------------------------------------------------------------------
1/10   黑皮手套

1/10   震天项链
1/10   银镜项链

1/10   五彩项链
1/10   遗魂项链
1/10   勇士项链

1/10   天藤头盔
1/1    内测影魅红包
;-------------------------------------------------------------------------------
;; 扁夯 酒捞袍 level 2
;-------------------------------------------------------------------------------
1/20   幸运降妖除魔戒指

1/20   恶魔长袍（男）
1/20   恶魔长袍（女）
1/20   战神盔甲（男）
1/20   战神盔甲（女）
1/20   幽灵战衣（男）
1/20   幽灵战衣（女）

;-------------------------------------------------------------------------------
;; 扁夯 酒捞袍 level 3
;-------------------------------------------------------------------------------
1/10  天极道衣（男）
1/10  天极道衣（女）
1/10  龙鳞战甲（男）
1/10  龙鳞战甲（女）
1/10  袁灵法衣（男）
1/10  袁灵法衣（女）
1/200  麒麟宝铠（男）
1/200  麒麟宝铠（女）
1/200  仙风神袍（男）
1/200  仙风神袍（女）
1/200  阴阳圣衣（男）
1/200  阴阳圣衣（女）

;-------------------------------------------------------------------------------
;; 焊胶鞭 傈侩 酒捞袍甸
;-------------------------------------------------------------------------------
1/2   祝福油
1/2   武器强化油

1/100  魄冰刺
1/100  十方斩
1/100  云寂术
1/100  斗转星移
1/100  移花接玉
1/100  乾坤大挪移
1/1800  焰天火雨
1/1800  铁布杉
1/100  怒神霹雳
1/2500  阴阳法环
1/2500  凝血离魂
1/2500  破血狂杀
1/2500  妙影无踪

1/500  破荒项链
1/500  魔云项链
1/500  定心项链
1/500  师承戒指
1/500  龙马戒指
1/500  青云戒指



1/500  生锈师承戒指
1/500  生锈龙马戒指
1/500  生锈青云戒指
1/500  生锈破荒项链
1/500  生锈魔云项链
1/500  生锈定心项链
1/500  生锈金棱手镯
1/500  生锈思过手镯
1/500  生锈世尊手镯

1/800  金棱手镯
1/800  思过手镯
1/800  世尊手镯

1/400   旋风流星刀
1/400   封魔剑
1/400   飞魂魔刃

1/600   裁决之杖
1/600   无极棍
1/600   骨玉权杖


1/2000  霹雷
1/2000  龙纹剑
1/2000  嗜魂法杖

