//悗梒傯婖饜离桶跡,,,,,,,,,
id(脹撰),馴僻厒僅,馴僻樓傖,滅郘樓傖,秏瘧億啟,桯尨悗梒id,跤迵悗梒靡備,妏蚚億啟id,秏瘧第蹋id,秏瘧第蹋杅講
0,0,0,0,0,0,,0,0,0
1,1,1,1,10000,30041,悗梒﹞1論,2,0,0
2,2,2,2,20000,30042,悗梒﹞2論,2,0,0
3,3,3,3,30000,30043,悗梒﹞3論,2,0,0
4,4,4,4,40000,30044,悗梒﹞4論,2,0,0
5,5,5,5,50000,30045,悗梒﹞5論,2,0,0
6,6,6,6,100000,30046,悗梒﹞6論,2,0,0
7,7,7,7,200000,30047,悗梒﹞7論,2,0,0
8,8,8,8,300000,30048,悗梒﹞8論,2,0,0
9,9,9,9,400000,30049,悗梒﹞9論,2,0,0
10,10,10,10,500000,30050,悗梒﹞10論,2,0,0
11,11,11,11,1000000,30051,悗梒﹞11論,2,2650,10
12,12,12,12,2000000,30052,悗梒﹞12論,2,2650,20
13,13,13,13,3000000,30053,悗梒﹞13論,2,2650,30
14,14,14,14,4000000,30054,悗梒﹞14論,2,2650,40
15,15,15,15,5000000,30055,悗梒﹞15論,2,2650,50
16,16,16,16,6000000,30056,悗梒﹞16論,2,2650,60
17,17,17,17,7000000,30057,悗梒﹞17論,2,2650,70
18,18,18,18,8000000,30058,悗梒﹞18論,2,2650,80
19,19,19,19,9000000,30059,悗梒﹞19論,2,2650,90
20,20,20,20,10000000,30060,悗梒﹞20論,2,2650,100
21,21,21,21,11000000,30061,悗梒﹞21論,2,2650,200
22,22,22,22,12000000,30062,悗梒﹞22論,2,2650,300
23,23,23,23,13000000,30063,悗梒﹞23論,2,2650,400
24,24,24,24,14000000,30064,悗梒﹞24論,2,2650,500
25,25,25,25,15000000,30065,悗梒﹞25論,2,2650,600
26,26,26,26,16000000,30066,悗梒﹞26論,2,2650,700
27,27,27,27,17000000,30067,悗梒﹞27論,2,2650,800
28,28,28,28,18000000,30068,悗梒﹞28論,2,2650,900
29,29,29,29,19000000,30069,悗梒﹞29論,2,2650,1000
30,30,30,30,20000000,30070,悗梒﹞30論,2,2650,1100
31,31,31,31,21000000,30071,悗梒﹞31論,2,2650,1200
32,32,32,32,22000000,30072,悗梒﹞32論,2,2650,1300
33,33,33,33,23000000,30073,悗梒﹞33論,2,2650,1400
34,34,34,34,24000000,30074,悗梒﹞34論,2,2650,1500
35,35,35,35,25000000,30075,悗梒﹞35論,2,2650,1600
36,36,36,36,26000000,30076,悗梒﹞36論,2,2650,1700
37,37,37,37,27000000,30077,悗梒﹞37論,2,2650,1800
38,38,38,38,28000000,30078,悗梒﹞38論,2,2650,1900
39,39,39,39,29000000,30079,悗梒﹞39論,2,2650,2000
40,40,40,40,30000000,30080,悗梒﹞40論,2,2650,2100
