;;merchant.txt don't delete this line!
;;Map  X  Y   Name  Face  Body  Sabuk
;[功能中心]
;-------------------------------------------------------------------------------
;功能/在线商城   	            1        394  124    赞助商城    	 0    30
功能/管理中心   	            1        399  118    管理中心    	 0    130
功能/内测服务员   	            1        406  121    影魅之塔    	 0    163
;功能/礼包兑换员   	            1        405  140    礼包兑换员   	 0    15
功能/充值中心   	            1        394  124    充值中心    	 0    189
功能/排行榜   	                    1        402  143    全服排行榜      0    195
功能/My00DefaultNpc                 z010      9    7     My00DefaultNPC  0    11
功能/GM后台管理                     Z010      10   16    后台管理        0    8
功能/战道地图管理员1                6        287  721    战道副本        0    50
功能/战道地图管理员2                74       340   72    战道副本        0    50
功能/战道地图管理员3                0157      13   12    战道副本        0    50
功能/圣火炉	                    1        392  119	 『圣火炉』	 0    129
功能/赛半仙	                    1        396  126	  赛半仙 	 0    193
功能/活动总管	                    1        390  126	  活动总管 	 0    99
功能/挂机检测员	                    z020      10  10	  挂机管理员 	 0    99
;-------------------------------------------------------------------------------
;[比奇城市-开始整理]
;-------------------------------------------------------------------------------
;比奇/比奇神石         	            0        439 385    六面神石       0   56
;比奇/寄售商	               	    0        436 368    寄售商         0    8
比奇/万事通                         0        456 393    万事通         0   169
比奇/金氏                           0        446 405    金氏           0   11
比奇/肉店老板                       0        441 404    肉店老板       0    4
比奇/啊康                           0        402 356    啊康           0    0
比奇/老张                           0        423 395    老张           0    1
比奇/怡美                           0        480 407    怡美           0    7
比奇/药店老板                       0        397 363    药店老板       0    5
比奇/恩英                           0        486 414    恩英           0    5
比奇/店员                           0        470 424    店员           0    2
比奇/客栈店员                       0        425 361    客栈店员       0    4
比奇/杂货商                         0        450 413    杂货商         0    3
比奇/恩实                           0        414 349    恩实           0    4
比奇/啊财                           0        408 377    啊财           0    9
比奇/美容师                         0        462 420    美容师         0   29
;;------------卖马NPC因为有马牌，用凯乐斯脚本------------
比奇/义贤                           0        375 304    义贤           0   26
比奇/太俊                           0        417 405    太俊           0   34
比奇/栗子商人                       0        441 374    栗子商人       0    3
比奇/六面神石1                      0        498 463    六面神石       0   56
比奇/六面神石2                      0        507 313    六面神石       0   56
比奇/六面神石3                      0        370 336    六面神石       0   56
比奇/六面神石4                      0        379 444    六面神石       0   56
比奇/路标栏                         0        447 382    路标栏         0   51
比奇/比奇城城主                     0        472 361    比奇城城主     0    8
比奇/总教头                         0        450 388    总教头         0   15
比奇/华龙断珠                       0        462 435    华龙断珠       0   18
比奇/比奇道长                       0        449 433    比奇道长       0   16
;;------------比奇行会功能沿用凯乐斯端的脚本------------
比奇/行政官员                       0        477 366    行政官员       0    8 
比奇/行会旗                         0        478 367    行会旗         0   10000
比奇/司仪                           0        388 288    司仪           0   190
比奇/啊琨                           0        459 395     啊琨          0    2
;比奇/啊梅                          0        452 381     啊梅          0    12
比奇/啊旭                           0        355 326     啊旭          0    39
比奇/洪气霖                         0        422 429     洪气霖        0     3
比奇/慧媛                           0        478 407     慧媛          0     7
比奇/酒娘                           0        420 431     酒娘          0     5
比奇/老黄                           0        413 409     老黄          0     1 
比奇/老生                           0        452 297     老生          0     9 
比奇/丽灵                           0        356 271     丽灵          0     12 
比奇/石母                           0_003    27 35       石母          0     7
比奇/母子石像                       0        517 395     母子石像      0     59
比奇/世玉                           0        440 341     世玉         0     3
比奇/苏百花                         0        483 404     苏百花       0     7 
比奇/休班卫士1                      0        417 353     休班卫士1  0 43 
比奇/休班卫士2                      0        447 465     休班卫士2  0 43 
比奇/休班卫士3                      0        502 393     休班卫士3  0 43 
比奇/图书管理员                     0        473 428     图书管理员 0 2
比奇/药剂师                         0        412 410     药剂师     0 9 
比奇/王大人                         0        389 396     王大人     0 8 
比奇/王小二                         0        357 273     王小二     0 3 
;-------------------------------------------------------------------------------
;[边境村庄]
;-------------------------------------------------------------------------------
;边境/寄售商	                    01       428   259    寄售商    	 0    126
边境/万事通                         01       429   263    万事通         0    169
边境/肉店金老板                     01       425   274    肉店金老板     0   11 
边境/德秀                           01       459   279    德秀           0    0 
边境/顺子                           01       442   296    顺子           0    7 
边境/尹老人                         01       434   303    尹老人         0    1 
边境/老余                           01       445   319    老余           0    2 
边境/赵老头                         01       471   279    赵老头         0    9 
边境/地摊商人                       01       433   282    地摊商人       0    3 
边境/晓丽                           01       444   270    晓丽           0    4 
边境/啊辉                           01       431   307    啊辉           0   34 
边境/栗子商人                       01       438   281    栗子商人       0    3 
边境/六面神石1                      01       456   216    六面神石       0   56 
边境/六面神石2                      01       411   287    六面神石       0   56 
边境/六面神石3                      01       463   356    六面神石       0   56 
边境/路标栏                         01       431   335    路标栏         0   52 
边境/龙血先生                       01       456   302    龙血先生       0   46 
边境/黄河大侠                       01       104   203    黄河大侠       0   46 
边境/龙血先生                       01_003     5     8    龙血先生       0   46 
边境/引路人                         01       419   285    引路人         0    9 
边境/啊彬                           01       422   262    啊彬           0   28
;边境/啊琨                           01       459 256      啊琨           0 2 
边境/满多                           01       424 312      满多           0 2
边境/上官小姐                       01       461 257      上官小姐       0 12 
边境/无名商人                       01       476 284      无名商人       0 34 
边境/智善                           01       444 245      智善           0 5 
;-------------------------------------------------------------------------------
;[银杏村庄]
;-------------------------------------------------------------------------------
;银杏/寄售商	               	    02       247   192    寄售商    	 0    126
银杏/万事通                         02       264   195    万事通         0    169
银杏/许氏                           02       228   194    许氏           0   11
银杏/铁匠师傅                       02       284   197    铁匠师傅       0    0
银杏/布店晓芙                       02       260   177    布店晓芙       0    7
银杏/许中医                         02       273   189    许中医         0    1
银杏/才石                           02       233   222    才石           0    2
银杏/啊雯                           02       250   190    啊雯           0    5
银杏/地摊老周                       02       236   205    地摊老周       0    3
银杏/晓兰                           02       275   222    晓兰           0    4
银杏/啊勋                           02       269   186    啊勋           0   34
银杏/栗子商人                       02       260   205    栗子商人       0    3
银杏/六面神石                       02       249   144    六面神石       0   56
银杏/路标栏                         02       245   172    路标栏         0   52
银杏/霹雳尊者                       02       265   145    霹雳尊者       0   48
银杏/化天先生                       02       353   212    化天先生       0   48
银杏/霹雳尊者                       02_001     5     8    霹雳尊者       0   48
银杏/霹雳尊者                       02_003    91    14    霹雳尊者       0   48
银杏/霹雳尊者                       02_004    25    41    霹雳尊者       0   48
银杏/引路人                         02       257   202    引路人         0    9
银杏/光秀                           02       243   234    光秀           0   28
;;------------使用凯乐斯版的加点脚本------------
银杏/智善大师                       02       247   242    智善大师       0   37
;银杏/啊琨                           02       254   198    啊琨           0 2
银杏/南宫小姐                       02       264   201    南宫小姐       0 12 
银杏/药剂师                         02       272   189    药剂师         0 9
;-------------------------------------------------------------------------------
;[道观]
;-------------------------------------------------------------------------------
道观/寄售商	               	    1        404   115    寄售商    	 0    98
道观/万事通                         1        398   128    万事通         0    169
道观/钱老板                         1        366   182    钱老板         0    11
道观/铁匠                           1        426   117    铁匠           0   15
道观/啊潘                           1_001     14    12    啊潘           0   15
道观/王铁匠                         1        382   198    王铁匠         0    0
道观/梁生                           1        412   133    梁生           0   23
道观/啊浩                           1_003     13    16    啊浩           0   23
道观/华玉                           1        363   176    华玉           0    5
道观/药中                           1        393   113    药中           0   25
道观/药神                           1        387   118    药神           0   109
道观/老药                           1_006      9    10    老药           0   25
道观/书鬼                           1        418    96    书鬼           0   18
道观/书神                           1_004      9    11    书神           0   18
道观/啊天                           1        396   116    啊天           0   20
道观/小老板                         1        391   167    小老板         0   3
道观/大老板                         1_007     11    14    大老板         0   34
道观/秀儿                           1        370   135    秀儿           0   5
道观/峰儿                           1_005      9    11    峰儿           0   35
道观/天星                           1        386   119    天星           0   34
道观/栗子商人                       1        382   141    栗子商人       0    3
道观/六面神石                       1        416   179    六面神石       0   56
道观/路标栏                         1        412   148    路标栏         0   51
道观/大悲善僧                       1        349   401    大悲善僧       0   18
道观/清明子                         1_002     11    10    清明子         0   106
道观/清明子                         1_008      5     8    清明子         0   106
道观/清明子                         1_011     91    14    清明子         0   106
道观/变异骷髅0                      1_013     44    25    变异骷髅       0   58
道观/变异骷髅1                      1_013     26    20    变异骷髅       0   58
道观/变异骷髅2                      1_013     27    25    变异骷髅       0   58
道观/变异骷髅3                      1_013     23    25    变异骷髅       0   58
道观/变异骷髅4                      1_013     35    15    变异骷髅       0   58
道观/变异骷髅5                      1_013     25    23    变异骷髅       0   58
道观/变异骷髅6                      1_013     25    41    变异骷髅       0   58
道观/变异骷髅7                      1_013     10    24    变异骷髅       0   58
;道观/啊琨                           1         404   115    啊琨          0   1
道观/禄英                           1_006     12    7     禄英           0   34
道观/士官                           1         405   135   士官           0   16
;道观/引路人                        1         409   128   路引指导       0   76 
道观/新人接待                       1         410   128   新人接待       0   150
道观/书堂玄震                       1         379   214   书堂玄震       0   16 
道观/无名老人                       1_009     117   25    无名老人       0   9 
道观/综合回收                       1         391   113   回收站         0   40
道观/封魔禁地                       1         381   118   封魔禁地       0   191
道观/宝藏守护者                     1         403   133   宝藏守护者     0   182
;-------------------------------------------------------------------------------
;[毒蛇村庄]
;-------------------------------------------------------------------------------
毒蛇/万事通                         2        321   223    万事通         0    8
毒蛇/铁匠啊力                       2        351   219    铁匠啊力       0    0
毒蛇/金莲                           2        342   235    金莲           0    7
毒蛇/金中医                         2        334   224    金中医         0    1
毒蛇/客栈保管员                     2        346   234    客栈保管员     0    5
